SKU;Desc.Produto;Data.Preco;Preco.Venda
0000073;BOWL REGENCY DAMASK BLUE 15CM 15x15x7.3C;21/07/2026;153,97
0000074;VASO REGENCY DAMASKY 22,8CM 22.8x22.8x22;21/07/2026;1.200,97
0000075;TRAVESSA HEXAGONAL REGENCY DAMASKY AZUL;21/07/2026;260,97
0000076;TRAVESSA HEXAGONAL REGENCY DAMASKY PINK;21/07/2026;260,97
0000077;TRAVESSA HEXAGONAL REGENCY DAMASKY PINK;21/07/2026;160,97
0000078;TRAVESSA HEXAGONAL REGENCY DAMASKY AZUL;21/07/2026;160,97
0000079;ACUCAREIRO REGENCY DAMASKY 250ML;21/07/2026;186,97
0000080;LEITEIRA REGENCY DAMASKY 200ML;21/07/2026;153,97
0000081;POTE REGENCY DAMASKY PINK 14.7x14.7x16.6;21/07/2026;400,97
0000082;POTE REGENCY DAMASKY BLUE 14.7x14.7x16.6;21/07/2026;400,97
0000083;CONJUNTO/2 CANECAS (SEM ALCA) REGENCY DA;21/07/2026;186,97
0000084;PRATO DE DOCE 3 CAMADAS REGENCY DAMASKY;21/07/2026;500,97
0000085;PRATO DE DOCES 2 CAMADAS REGENCY DAMASKY;21/07/2026;286,97
0000086;BOWL REGENCY DAMASKY 22CM 22.3x22.3x9.5C;21/07/2026;433,97
0000087;BOWL REGENCY DAMASKY 12CM 12x12x5.4CM 22;21/07/2026;125,97
0000088;BOWL REGENCY DAMASKY 12CM 12x12x5.4CM 22;21/07/2026;125,97
0000089;BOWL REGENCY DAMASKY PINK QUADRADO 12CM;21/07/2026;125,97
0000090;BOWL REGENCY DAMASKY BLUE QUADRADO 12CM;21/07/2026;125,97
0000091;CONJUNTO AROMA CRISTAL REGENCY DAMASK 10;21/07/2026;407,97
0000092;CONJUNTO AROMA CRISTAL REGENCY DAMASK 10;21/07/2026;407,97
0000093;CONJUNTO DIFUSOR REGENCY DAMASK PINK 9.5;21/07/2026;407,97
0000094;CONJUNTO DIFUSOR REGENCY DAMASK 9.5x9.5x;21/07/2026;407,97
0000095;PRATO PAO BLUE RIBBON OVAL CONJUNTO/2 17;21/07/2026;175,97
0000096;PRATO SOBREMESA BLUE RIBBON OVAL CONJUNT;21/07/2026;244,97
0000097;PRATO DE JANTAR BLUE RIBBON OVAL CONJUNT;21/07/2026;326,97
0000098;TRAVESSA OVAL COM ALCA BLUE RIBBON 32CM;21/07/2026;326,97
0000099;TRAVESSA OVAL BLUE RIBBON 31CM 30.8x17.5;21/07/2026;180,97
0000100;PRATO FUNDO BLUE RIBBON 20CM 20.6x20.6x4;21/07/2026;135,97
0000101;BOWL DE FRUTA BLUE RIBBON 450ML;21/07/2026;156,97
0000102;BULE COM INFUSOR - BLUE RIBBON 1000ML;21/07/2026;401,97
0000103;ACUCAREIRO BLUE RIBBON 260ML;21/07/2026;148,97
0000104;LEITEIRA BLUE RIBBON 220ML;21/07/2026;135,97
0000105;XICARA DE CHA CONJUNTO/2 BLUE RIBBON ROS;21/07/2026;285,97
0000106;XICARA DE CHA CONJUNTO/2 BLUE RIBBON QUE;21/07/2026;285,97
0000107;BOWL CONJUNTO/4 BLUE RIBBON 270ml;21/07/2026;285,97
0000108;BOWL BLUE RIBBON 560ML;21/07/2026;112,97
0000109;TIGELA BLUE RIBBON 22 cm 21.8x21.8x9.5cm;21/07/2026;271,97
0000110;CONJUNTO/4 PRATO MINI 11x11x2.7cm;21/07/2026;183,97
0000111;VASO BLUE RIBBON 22CM 21.8x21.8x9.5cm;21/07/2026;1.193,97
0000112;PRATO DE JANTAR BARROCO FLORESCENTE BLOO;21/07/2026;237,97
0000113;PRATO DE JANTAR BARROCO FLORESCENTE BLOO;21/07/2026;210,97
0000114;PRATO DE JANTAR BARROCO FLORESCENTE BLOO;21/07/2026;210,97
0000115;PRATO DE PAO BARROCO FLORESCENDO BLOOMIN;21/07/2026;153,97
0000116;PRATO DE PAO BARROCO FLORESCENDO BLOOMIN;21/07/2026;153,97
0000117;PRATO DE PAO BARROCO FLORESCENDO  BLOOMI;21/07/2026;153,97
0000118;PRATO DE PAO BARROCO FLORESCENTE BLOOMIN;21/07/2026;119,97
0000119;PRATO DE PAO BARROCO FLORESCENTE BLOOMIN;21/07/2026;119,97
0000120;PRATO DE PAO BARROCO FLORESCENTE BLOOMIN;21/07/2026;119,97
0000121;PRATO FUNDO BARROCO FLORESCENTE BLOOMING;21/07/2026;197,97
0000122;PRATO FUNDO BARROCO FLORESCENTE BLOOMING;21/07/2026;174,97
0000123;PRATO FUNDO BARROCO FLORESCENTE BLOOMING;21/07/2026;174,97
0000124;TRAVESSA RETANGULAR BLOOMING BAROQUE 35C;21/07/2026;256,97
0000125;TIGELA FLORESCENTE BARROCO BLOOMING BARO;21/07/2026;434,97
0000126;TIGELA BARROCO FLORESCENTE  BLOOMING BAR;21/07/2026;164,97
0000127;TIGELA BARROCO FLORESCENTE BLOOMING BARO;21/07/2026;164,97
0000128;TIGELA BARROCO FLORESCENTE BLOOMING BARO;21/07/2026;164,97
0000129;BOWL FLORESCENDO BARROCO BLOOMING BAROQU;21/07/2026;117,97
0000130;BOWL FLORESCENDO BARROCO BLOOMING BAROQU;21/07/2026;117,97
0000133;BULE COM INFUSOR - HORTICOOL BLUE 500ML;21/07/2026;333,97
0000134;BULE COM INFUSOR - HORTICOOL BLUE 1000ML;21/07/2026;441,97
0000135;ACUCAREIRO HORTICOOL BLUE 150ML;21/07/2026;153,97
0000136;LEITEIRA HORTICOOL BLUE 150ML;21/07/2026;126,97
0000137;BULE COM INFUSOR E XICARA HOORTICOL BLUE;21/07/2026;386,97
0000138;XICARA DE CHA E PIRES APPLE BLOSSOM HORT;21/07/2026;160,97
0000139;XICARA DE CHA E PIRES GEOMETRIA HORTICOO;21/07/2026;184,97
0000140;CANECA GEOMETRIA HORTICOOL BLUE 300ML;21/07/2026;106,97
0000141;CANECA HORTICOOL BLUE 300ML;21/07/2026;108,97
0000142;PRATO DE PAO HORTICOOL BLUE 16,5CM 16.7x;21/07/2026;102,97
0000143;PRATO DE SOBREMESA FLOR HORTICOOL BLUE 2;21/07/2026;126,97
0000144;PRATO HORTICOOL BLUE 20,0CM;21/07/2026;135,97
0000145;PRATO DE JANTAR FLOR HORTICOOL BLUE 26CM;21/07/2026;184,97
0000146;PRATO DE FUNDO GEOMETRIA HORTICOOL BLUE;21/07/2026;161,97
0000147;TRAVESSA OBLONGA HORTICOOL BLUE 30CM 29.;21/07/2026;160,97
0000148;TRAVESSA OBLONGA HORTICOOL BLUE 35CM 34.;21/07/2026;233,97
0000149;TRAVESSA OVAL HORTICOOL BLUE 31CM 30.9x1;21/07/2026;200,97
0000150;CONJUNTO/4 HORTICOOL BLUE PRATO MINI 11x;21/07/2026;200,97
0000151;BOWL HORTICOOL BLUE 12CM 220ML;21/07/2026;86,97
0000152;BOWL COM TAMPA FLORAL HORTICOOL GREEN 12;21/07/2026;119,97
0000153;BOWL COM TAMPA FLORAL GEOMETRIA HORTICOO;21/07/2026;119,97
0000155;CONSOME COM TAMPA FLORAL HORTICOOL GREEN;21/07/2026;148,97
0000156;CANECA COM ALCA GEOMETRICA HORTICOOL GRE;21/07/2026;109,97
0000157;CANECA COM ALCA FLORAL HORTICOOL GREEN 3;21/07/2026;109,97
0000159;XICARA DE CHA AZUL FLORAL TAPESTRY 250ML;21/07/2026;292,97
0000162;CANECA COM ALCA LILAK TAPESTRY 36OML;21/07/2026;220,97
0000168;PRATO CONJUNTO/3 DAHLIA TAPESTRY;21/07/2026;464,97
0000169;XICARA DE CAFE E PIRES HORTICOOL BLUE 10;21/07/2026;148,97
0000171;PRATO DE PÃO BORBOLETA KALEIDOSCOPE 18.5;21/07/2026;120,97
0000172;SET COM QUATRO MINI PRATOS HORTICOOL GRE;21/07/2026;190,97
0000173;PRATOS HORTICOOL GREEN 20,5 CM;21/07/2026;149,97
0000174;DESCANSO PARA TRAVESSA HORTICOOL GREEN;21/07/2026;113,97
0000175;VASO FLORAL HORTICOOL GREEN 11 CM;21/07/2026;136,97
0000176;VASO LISTRA HORTICOOL GREEN 9 CM;21/07/2026;81,97
0000177;VASO TRELICIA HORTICOOL GREEN 9 CM;21/07/2026;81,97
0000178;BOWL COM TAMPA VERDE HORTICOOL GREEN 700;21/07/2026;202,97
0000179;BOWL COM TAMPA LISTRA HORTICOOL GREEN 28;21/07/2026;178,97
0000180;TACA DE SOBREMESA HORTICOOL GREEN 10CM;21/07/2026;111,97
0000181;BOWL VERDE HORTICOOL GREEN 14,5CM;21/07/2026;113,97
0000182;BOWL FLORAL HORTICCOL GREEN 16,5CM;21/07/2026;154,97
0000189;PRATO DE PÃO BORBOLETAS KALEIDOSCOPE 18,;21/07/2026;123,97
0000190;PRATO DE PÃO FOLHAS KALEIDOSCOPE 18,5CM;21/07/2026;123,97
0000191;PRATO DE SOBREMESA LISTRADO KALEIDOSCOPE;21/07/2026;160,97
0000192;PRATO DE SOBREMESA FOLHA KALEIDOSCOPE 22;21/07/2026;160,97
0000193;PRATO DE JANTAR FLORAL BORBOLETAS KALEID;21/07/2026;208,97
0000194;PRATO DE JANTAR LISTRADO KALEIDOSCOPE 27;21/07/2026;208,97
0000195;PRATO DE TRES ANDARES KALEIDOSCOPE 18.5C;21/07/2026;461,97
0000196;PRATO FUNDO LISTRADO KALEIDOSCOPE 22CM;21/07/2026;172,97
0000197;PRATO FUNDO AZUL DE KALEIDOSCOPE 22CM;21/07/2026;172,97
0000198;BULE COM INFUSOR KALEIDOSCOPE 1L;21/07/2026;479,97
0000199;LEITEIRA KALEIDOSCOPE 280ML;21/07/2026;147,97
0000200;ACUCAREIRO KALEIDOSCOPE 330ML;21/07/2026;169,97
0000201;XICARA DE CHA FLORAL KALEIDOSCOPE 190ML;21/07/2026;182,97
0000202;XICARA DE CHA INSETO KALEIDOSCOPE 190ML;21/07/2026;182,97
0000203;CANECA LISTRA KALEIDOSCOPE 380ML;21/07/2026;121,97
0000204;CANECA AZUL KALEIDOSCOPE 380ML;21/07/2026;124,97
0000205;BOWL INSETO KALEIDOSCOPE 320ML;21/07/2026;112,97
0000206;BOWL VERDE KALEIDOSCOPE 1000ML;21/07/2026;183,97
0000207;BOWL BORBOLETA KALEIDOSCOPE 2000ML;21/07/2026;355,97
0000208;TRAVESSA LISTRADA KALEIDOSCOPE 33CM;21/07/2026;267,97
0000209;TREVESSA VERDE KALEIDOSCOPE 28CM;21/07/2026;199,97
0000210;XICARA DE CAFE LISTRADO KALEIDOSCOPE 85M;21/07/2026;134,97
0000211;XICARAS DE CAFE BORBOLETAS KALEIDOSCOPE;21/07/2026;134,97
0000212;XICARA DE CAFE AZUL KALEIDOSCOPE 85ML;21/07/2026;134,97
0000213;XICARA DE CAFE ROSA KALEINDOSCOPE 85ML;21/07/2026;134,97
0000214;PRATO DE PAO OVAL LACO BLUE RIBBON 17,5C;21/07/2026;96,97
0000215;PRATO DE PAO OVAL RENDA BLUE RIBBON 17,5;21/07/2026;96,97
0000216;PRATO SOBREMESA OVAL LACO BLUE RIBBON 23;21/07/2026;141,97
0000217;PRATO SOBREMESA OVAL DE LOURO BLUE RIBBO;21/07/2026;141,97
0000218;PRATO RASO OVAL QUERUBIN BLUE RIBBON 27C;21/07/2026;178,97
0000219;PRATO RASO OVAL LOURO BLUE RIBBON 27CM;21/07/2026;178,97
0000220;XICARA DE CHA ROSAS BLUE RIBBON 230ML;21/07/2026;160,97
0000221;XICARA DE CHA LAUREL BLUE RIBBON 230ML;21/07/2026;160,97
0000222;XICARA DE CHA GEOMETRICO BLUE RIBBON 230;21/07/2026;160,97
0000223;XICARA DE CHA QUERUBIN BLUE RIBBON 230ML;21/07/2026;160,97
0000224;CANECA LACO BLUE RIBBON 330ML;21/07/2026;111,97
0000225;CANECA LOURO BLUE RIBBON 330ML;21/07/2026;111,97
0000226;CANECAS ROSAS BLUE RIBBON 330ML;21/07/2026;111,97
0000227;CANECA GEOMETRICA BLUE RIBBON 330ML;21/07/2026;111,97
0000228;TIGELA DE LOURO BLUE RIBBON 12CM;21/07/2026;88,97
0000229;TIGELA DE ROSAS BLUE RIBBON 12CM;21/07/2026;88,97
0000230;SET COM QUATRO MINI PRATO BLUE RIBBON;21/07/2026;183,97
0000231;SET COM QUATRO HASHI BLUE RIBBON;21/07/2026;177,97
0000232;SET COM QUATRO DESCANSO DE HASHI BLUE RI;21/07/2026;141,97
0000233;XICARA DE CHA VERMELHO PEONY 250ml;21/07/2026;192,97
0000234;SET COM 3 PRATOS PEONY 20CM 23CM 28CM;21/07/2026;584,97
0000235;BOWL DUO PEONY LARANJA-AZUL 12CM;21/07/2026;227,97
0000236;TRAVESSA RETANGULAR TAPESTRY 33CM;21/07/2026;347,97
0000237;XICARA DE CHA AZUL FLORAL TAMPESTRY 250M;21/07/2026;292,97
0000238;CANECA AMARELA DAHLIA 360ML;21/07/2026;227,97
0000239;XICARA DE CHA AZUL DAHLIA 250ML;21/07/2026;292,97
0000240;BOWL COM TAMPA FLORAL HORTICOOL GREEN 70;21/07/2026;203,97
0000241;DUO BOWL TAPESTRY 12CM;21/07/2026;266,97
0000243;TRAVESSA RETANGULAR PEONY 33CM;21/07/2026;324,97
0000244;BULE COM INFUSOR - PEONY 800ML;21/07/2026;535,97
0000245;CANECA PINK PEONY 360ML;21/07/2026;227,97
0000246;CANECA BEIGE PEONY 360ML;21/07/2026;227,97
0000247;XICARA DE CHA E PIRES BEIGE PEONY 250ML;21/07/2026;292,97
0000248;XICARA DE CHA E PIRES ORANGE PEONY 250ML;21/07/2026;292,97
0000249;XICARA DE CHA E PIRES BLUE PEONY 250ML;21/07/2026;292,97
0000250;DUO XICARA DE CAFE RED-WHITE PEONY 80ML;21/07/2026;253,97
0000251;DUO XICARA DE CAFE BLUE-ORANGE PEONY 80M;21/07/2026;253,97
0000252;PRATO DE SOBREMESA BLUE PEONY 20CM;21/07/2026;148,97
0000253;PRATO DE SOBREMESA PINK PEONY 20CM;21/07/2026;148,97
0000254;PRATO FUNDO RED PEONY 23CM;21/07/2026;185,97
0000255;PRATO RASO ORANGE PEONY 28CM;21/07/2026;228,97
0000256;DUO CORAÇÃO ORANGE-BLUE PEONY 17.5CM;21/07/2026;289,97
0000257;DUO CORAÇÃO PINK-BLUE PEONY 22.5CM;21/07/2026;370,97
0000258;APOIO DE TALHER PEONY 15CM;21/07/2026;108,97
0000259;DUO BOWL PINK-BEIGE PEONY 12CM;21/07/2026;266,97
0000260;BOWL PEONY ORANGE 560ML;21/07/2026;195,97
0000261;BOWL PEONY BLUE 560ML;21/07/2026;195,97
0000262;TRAVESSA PEONY BLUE 33CM;21/07/2026;363,97
0000263;VASO PEONY ORANGE 30CM;21/07/2026;1.296,97
0000264;VASO PEONY RED 30CM;21/07/2026;1.296,97
0000265;VASO PEONY BEIGE 30CM;21/07/2026;1.296,97
0000266;VASO PEONY BLUE 30CM;21/07/2026;1.296,97
0000267;BOWL PEONY RED 1200ML;21/07/2026;467,97
0000268;BANDEIJA QUADRADA PEONY RED 14CM;21/07/2026;150,97
0000269;BANDEIJA QUADRADA PEONY ORANGE 14CM;21/07/2026;150,97
0000270;BULE COM INFUSOR PAPILLON 1L;21/07/2026;536,97
0000271;ACUCAREIRO PAPILLON 250ML;21/07/2026;181,97
0000272;LEITEIRA PAPILLON 210ML;21/07/2026;148,97
0000273;XICARA DE CHA PAPILLON 180ML;21/07/2026;194,97
0000274;XICARA DE CAFE PAPILLON 100ML;21/07/2026;138,97
0000275;CANECA PAPILLON 350ML;21/07/2026;134,97
0000276;PRATO DE PAO PAPILLON 17,5CM;21/07/2026;129,97
0000277;PRATO SOBREMESA PAPILLON 21CM;21/07/2026;170,97
0000278;PRATO RASO PAPILLON 26CM;21/07/2026;235,97
0000279;TRAVESSA PAPILLON 25CM;21/07/2026;174,97
0000280;TRAVESSA PAPILLON 35CM;21/07/2026;292,97
0000281;SET COM QUATRO MINI PRATO PAPILLON;21/07/2026;244,97
0000282;PRATO FUNDO PAPILLON 20CM;21/07/2026;198,97
0000283;TRAVESSA OVAL PAPILLON 30.5CM;21/07/2026;302,97
0000284;BOWL PAPILLON 22CM 1800ML;21/07/2026;419,97
0000285;BOWL PAPILLON 16CM 620ML;21/07/2026;176,97
0000286;BOWL PAPILLON 12CM 280ML;21/07/2026;115,97
0000287;XICARA DE CHA E PIRES PAPILLON 180ML;21/07/2026;122,97
0000288;PRATO RASO BRANCO 26CM;21/07/2026;122,97
0000290;PRATO SOBREMESA BRANCO 21CM;21/07/2026;96,97
0000291;PRATO PAO BRANCO 17.5CM;21/07/2026;78,97
0000300;TESTE;21/07/2026;100,00
